"cla_id","cll_id","agn_id"
"364","8534","92"
"365","6236","92"
"366","2880","92"
"367","2881","92"
"368","6237","156"
"369","4948","92"
"370","4949","92"
"371","15688","92"
"372","15689","92"
"373","24792","92"
"374","11672","92"
"375","19855","92"
"376","19850","59"
"377","19850","138"
"378","19850","210"
"379","2884","92"
"380","2885","92"
"381","4944","169"
"382","4945","92"
"383","15679","156"
"384","15680","156"
"385","8528","92"
"386","6244","145"
"387","15698","92"
"388","15698","156"
"389","11666","169"
"390","15683","92"
"391","8525","92"
"392","11660","92"
"393","2887","92"
"394","2887","120"
"395","2891","156"
"396","2892","92"
"397","15685","171"
"398","15686","92"
"399","19849","92"
"400","19848","92"
"401","4943","92"
"402","11679","156"
"403","11679","223"
"404","11680","120"
"405","11683","156"
"406","11684","182"
"407","15693","82"
"408","15693","109"
"409","15693","140"
"410","24795","145"
"411","24795","168"
"412","24798","70"
"413","24798","107"
"414","2895","92"
"415","2895","169"
"416","11673","92"
"417","2898","92"
"418","19846","92"
"419","19844","92"
"420","15700","76"
"421","15700","140"
"422","8519","160"
"423","8519","169"
"424","14505","210"
"425","6249","92"
"426","2901","92"
"427","14497","92"
"428","14499","92"
"429","11702","92"
"430","14481","92"
"431","14503","92"
"432","11701","92"
"433","14483","92"
"434","14485","92"
"435","14486","92"
"436","19840","140"
"437","19840","160"
"438","14492","92"
"439","14493","92"
"440","14489","92"
"441","14491","92"
"442","2906","145"
"443","2904","92"
"444","2905","92"
"445","11695","156"
"446","11696","145"
"447","11694","92"
"448","2908","168"
"449","8516","59"
"450","15708","92"
"451","15705","218"
"452","24805","92"
"453","19843","92"
"454","2932","92"
"455","24814","92"
"456","24815","92"
"457","24816","92"
"458","14529","169"
"459","14530","120"
"460","24825","92"
"461","24817","109"
"462","24817","118"
"463","24817","120"
"464","24818","92"
"465","24819","92"
"466","15617","156"
"467","24824","92"
"468","4932","156"
"469","4932","218"
"470","24826","92"
"471","11725","169"
"472","11726","92"
"473","2935","145"
"474","15618","68"
"475","15618","218"
"476","6271","169"
"477","8501","92"
"478","8502","92"
"479","24832","92"
"480","11727","169"
"481","2936","82"
"482","2936","92"
"483","2936","120"
"484","8506","92"
"485","15628","120"
"486","6265","218"
"487","6277","120"
"488","24836","92"
"489","6267","59"
"490","6267","210"
"491","15640","92"
"492","19818","92"
"493","19819","145"
"494","19819","168"
"495","15639","92"
"496","15639","156"
"497","24840","68"
"498","8486","92"
"499","8484","92"
"500","8485","160"
"501","8485","169"
"502","14522","92"
"503","11734","120"
"504","11734","140"
"505","11735","119"
"506","11735","169"
"507","11736","156"
"508","11736","169"
"509","15633","92"
"510","15634","140"
"511","14525","175"
"512","15630","156"
"513","4930","141"
"514","11765","156"
"515","8489","92"
"516","8494","92"
"517","8495","92"
"518","8497","92"
"519","2939","140"
"520","2939","156"
"521","2940","92"
"522","2944","92"
"523","15636","77"
"524","15636","140"
"525","15655","145"
"526","19805","140"
"527","11763","118"
"528","19809","119"
"529","19809","169"
"530","14520","145"
"531","14520","175"
"532","15652","120"
"533","15652","156"
"534","11749","156"
"535","8473","92"
"536","11758","92"
"537","11759","92"
"538","2945","92"
"539","2949","92"
"540","2950","92"
"541","11746","140"
"542","15706","92"
"543","8517","92"
"544","8518","92"
"545","11710","140"
"546","11711","156"
"547","11711","223"
"548","14479","218"
"549","2909","92"
"550","8511","92"
"551","19837","92"
"552","19837","156"
"553","2911","92"
"554","2912","92"
"555","2913","92"
"556","11717","76"
"557","11717","77"
"558","11717","140"
"559","11718","170"
"560","4933","76"
"561","4933","210"
"562","4936","169"
"563","2920","156"
"564","2921","64"
"565","2921","169"
"566","2923","92"
"567","11703","140"
"568","19832","92"
"569","19832","156"
"570","11705","92"
"571","2928","92"
"572","6257","92"
"573","8477","92"
"574","8478","92"
"575","4928","76"
"576","4928","145"
"577","11751","168"
"578","11756","92"
"579","11757","140"
"580","11757","145"
"581","19815","169"
"582","11747","92"
"583","24844","156"
"584","8480","92"
"585","8481","77"
"586","8481","92"
"587","8482","92"
"588","11748","92"
"589","15651","92"
"590","6287","92"
"591","19813","92"
"592","19813","119"
"593","15670","92"
"594","11773","169"
"595","6290","92"
"596","6291","92"
"597","6293","92"
"598","14512","185"
"599","11775","210"
"600","11776","92"
"601","6295","92"
"602","2952","92"
"603","15658","169"
"604","15660","156"
"605","4925","169"
"606","4925","171"
"607","19802","76"
"608","19802","168"
"609","19802","171"
"610","14518","92"
"611","6283","92"
"612","19963","92"
"613","15994","92"
"614","15995","92"
"615","15999","92"
"616","8458","92"
"617","11782","171"
"618","14384","185"
"619","11780","92"
"620","19966","92"
"621","6312","92"
"622","6296","92"
"623","6297","92"
"624","19956","77"
"625","19956","140"
"626","19956","174"
"627","19954","70"
"628","19954","76"
"629","19954","168"
"630","4922","140"
"631","19953","92"
"632","19953","140"
"633","19953","171"
"634","8463","89"
"635","8463","185"
"636","8464","92"
"637","19961","70"
"638","19961","76"
"639","19961","140"
"640","19961","168"
"641","19962","92"
"642","16003","218"
"643","16004","218"
"644","19958","92"
"645","14383","185"
"646","6300","145"
"647","6301","92"
"648","6302","92"
"649","16000","185"
"650","16001","107"
"651","16001","175"
"652","16001","185"
"653","6334","92"
"654","14388","156"
"655","6330","92"
"656","6331","92"
"657","11793","169"
"658","11794","92"
"659","19976","92"
"660","19976","171"
"661","19979","92"
"662","19980","92"
"663","19980","171"
"664","14385","185"
"665","14387","92"
"666","15981","92"
"667","24695","92"
"668","15983","118"
"669","15983","120"
"670","6320","92"
"671","6317","92"
"672","6319","92"
"673","6315","92"
"674","15991","92"
"675","6321","92"
"676","19970","151"
"677","19970","152"
"678","19971","92"
"679","19971","156"
"680","19972","92"
"681","8455","92"
"682","19973","117"
"683","19973","156"
"684","19973","169"
"685","8451","92"
"686","8452","77"
"687","6329","145"
"688","2966","92"
"689","2966","107"
"690","2966","145"
"691","2966","168"
"692","11799","92"
"693","11800","92"
"694","19974","92"
"695","2964","92"
"696","2965","92"
"697","15956","92"
"698","15956","156"
"699","11805","92"
"700","11806","92"
"701","4920","120"
"702","4920","156"
"703","6343","92"
"704","15952","160"
"705","15953","92"
"706","15955","92"
"707","6338","92"
"708","6339","92"
"709","6340","92"
"710","11811","156"
"711","11807","92"
"712","14392","92"
"713","19946","92"
"714","15965","89"
"715","15965","92"
"716","2967","92"
"717","2968","92"
"718","11810","92"
"719","15949","156"
"720","15970","156"
"721","6375","92"
"722","2970","92"
"723","11818","120"
"724","11818","135"
"725","6373","92"
"726","15959","92"
"727","19952","92"
"728","19952","156"
"729","15972","92"
"730","15973","92"
"731","14390","92"
"733","15958","156"
"734","15962","92"
"735","19951","92"
"736","8436","92"
"737","2972","92"
"738","6362","92"
"739","6367","92"
"740","6368","92"
"741","11813","92"
"742","15960","156"
"743","15960","185"
"744","6352","92"
"745","6353","92"
"746","6354","92"
"747","4919","92"
"748","6345","92"
"749","6346","92"
"750","6350","92"
"751","15964","76"
"752","15964","185"
"753","19950","92"
"754","11833","92"
"755","11834","92"
"756","14380","185"
"757","11828","92"
"758","6386","92"
"759","6387","92"
"760","6390","92"
"761","16007","199"
"762","14381","92"
"763","14382","92"
"764","6384","92"
"765","6385","92"
"766","16025","156"
"767","19293","219"
"768","16023","92"
"769","8432","92"
"770","8433","76"
"771","19290","76"
"772","8434","92"
"773","4912","92"
"774","4913","92"
"775","4915","92"
"776","6379","92"
"777","6380","92"
"778","11820","156"
"779","11821","76"
"780","11821","118"
"781","19298","89"
"782","15662","156"
"783","11768","92"
"784","11768","223"
"785","8470","92"
"786","8471","92"
"787","19982","76"
"788","19982","107"
"789","19982","145"
"790","19982","168"
"791","16043","92"
"792","14367","92"
"793","14368","92"
"794","14360","92"
"795","14361","92"
"796","16039","92"
"797","16037","135"
"798","16037","148"
"799","16037","223"
"800","16041","135"
"801","16041","223"
"802","11851","169"
"803","6400","92"
"804","11850","140"
"805","19988","118"
"806","19988","168"
"807","8430","115"
"808","8430","145"
"809","14375","92"
"810","14376","92"
"811","8426","92"
"812","8427","145"
"813","8427","168"
"814","16030","156"
"815","6392","92"
"816","16033","77"
"817","16033","185"
"818","19288","146"
"819","11841","92"
"820","11847","92"
"821","11848","92"
"822","6405","92"
"823","6407","92"
"824","6401","92"
"825","4909","92"
"826","4907","92"
"827","11855","119"
"828","16048","121"
"829","16048","171"
"830","16048","185"
"831","24690","92"
"832","24691","92"
"833","19995","92"
"834","19992","92"
"835","16047","92"
"836","19269","92"
"837","19274","92"
"838","19275","92"
"839","19277","92"
"840","19282","92"
"841","19283","92"
"842","19285","92"
"843","4906","156"
"844","19264","92"
"845","19262","92"
"846","19255","92"
"847","6410","92"
"848","19266","193"
"849","16050","92"
"850","11857","92"
"851","11860","140"
"852","6411","92"
"853","2982","92"
"854","11861","92"
"855","11862","92"
"856","11865","92"
"857","11865","156"
"858","20003","92"
"859","8417","92"
"860","20001","92"
"861","11877","92"
"862","11878","92"
"863","6417","92"
"864","11875","92"
"865","6421","140"
"866","6415","92"
"867","12442","185"
"868","2986","92"
"869","2988","92"
"870","12445","185"
"871","8408","185"
"872","12418","210"
"873","6422","92"
"874","11901","92"
"875","12412","92"
"876","2990","92"
"877","11898","264"
"878","12416","185"
"879","8414","92"
"880","15841","92"
"881","20046","107"
"882","20046","120"
"883","20046","168"
"884","20046","174"
"885","20047","121"
"886","20047","145"
"887","20047","168"
"888","15842","160"
"889","15842","185"
"890","15845","156"
"891","8412","92"
"892","20062","92"
"893","20062","156"
"894","8413","156"
"895","15850","156"
"896","11883","76"
"897","11883","185"
"898","14456","92"
"899","8415","92"
"900","20061","92"
"901","20061","156"
"902","11885","185"
"903","15821","92"
"904","14455","92"
"905","12410","92"
"906","14454","92"
"907","15825","92"
"908","20057","76"
"909","20057","160"
"910","12405","92"
"911","2996","92"
"912","2997","92"
"913","20052","92"
"914","11890","92"
"915","15834","92"
"916","3001","92"
"917","3002","92"
"918","3002","119"
"919","3002","169"
"920","3002","371"
"921","20053","92"
"922","15873","92"
"923","14448","185"
"924","15875","52"
"925","20008","118"
"926","20008","140"
"927","20008","174"
"928","15878","185"
"929","15879","185"
"930","20006","169"
"931","20007","89"
"932","20007","182"
"933","20007","218"
"934","8399","92"
"935","8400","185"
"936","11902","92"
"937","15883","185"
"938","12430","64"
"939","12430","160"
"940","6429","92"
"941","8397","89"
"942","8397","218"
"943","14445","118"
"944","14445","185"
"945","3008","92"
"946","3008","160"
"947","3008","169"
"948","6425","92"
"949","12429","92"
"950","8396","121"
"951","14443","156"
"952","20016","92"
"953","20014","92"
"955","14449","92"
"956","20020","92"
"957","15868","92"
"958","20018","92"
"959","20036","92"
"960","15855","68"
"961","15855","89"
"962","20039","92"
"963","6454","92"
"964","6455","92"
"965","20080","264"
"966","6456","92"
"967","14400","185"
"968","20074","92"
"969","20075","76"
"970","20075","107"
"971","20075","145"
"972","20075","168"
"973","12439","92"
"974","20073","92"
"975","15941","92"
"976","6459","92"
"977","20070","76"
"978","20070","121"
"979","20070","145"
"980","20071","118"
"981","20071","120"
"982","20071","156"
"983","20071","174"
"984","11918","119"
"985","11920","185"
"986","15933","76"
"987","15933","121"
"988","15933","185"
"989","15934","135"
"990","15934","148"
"991","15935","118"
"992","15942","156"
"993","20066","92"
"994","20066","156"
"995","15945","92"
"997","6446","92"
"998","20067","92"
"999","12440","76"
"1000","12440","107"
"1001","6453","92"
"1002","15940","109"
"1003","15940","118"
"1004","15940","185"
"1005","14399","92"
"1006","14396","92"
"1007","4887","92"
"1008","4888","92"
"1009","4892","185"
"1010","14406","92"
"1011","20089","68"
"1012","20089","182"
"1013","20089","218"
"1014","15916","156"
"1015","12437","156"
"1016","11925","92"
"1017","15928","76"
"1018","20086","185"
"1019","14405","92"
"1020","20797","92"
"1021","8389","92"
"1022","12436","156"
"1023","14416","156"
"1024","11933","92"
"1025","20097","92"
"1026","6465","92"
"1027","20093","76"
"1028","20093","121"
"1029","20093","140"
"1030","20093","168"
"1031","11930","160"
"1032","11931","182"
"1033","11931","218"
"1034","20094","76"
"1035","20094","168"
"1036","20094","185"
"1037","15921","169"
"1038","14412","92"
"1039","14413","92"
"1040","15922","92"
"1041","11929","92"
"1042","14418","92"
"1043","14424","92"
"1044","14425","92"
"1045","20098","92"
"1046","14427","92"
"1047","15914","92"
"1048","4883","265"
"1049","15915","156"
"1050","6470","92"
"1051","6475","92"
"1052","11935","218"
"1053","14434","92"
"1054","14431","92"
"1055","14432","92"
"1056","8384","92"
"1057","14440","92"
"1058","4881","309"
"1059","20019","92"
"1060","15864","156"
"1061","15866","160"
"1062","15866","185"
"1063","14450","92"
"1064","14451","92"
"1065","11905","156"
"1066","3012","92"
"1067","20030","92"
"1068","20033","185"
"1069","6439","156"
"1070","6439","185"
"1071","11909","92"
"1072","6443","92"
"1073","6443","185"
"1074","15861","76"
"1075","15861","185"
"1076","11910","140"
"1077","6437","92"
"1078","15858","185"
"1079","11937","92"
"1080","11938","92"
"1081","11939","92"
"1082","8381","59"
"1083","8381","92"
"1084","8381","185"
"1085","8381","376"
"1086","8380","140"
"1087","8382","92"
"1088","8382","156"
"1089","11941","92"
"1090","11943","92"
"1091","11944","92"
"1092","15909","92"
"1093","15893","185"
"1094","20112","92"
"1095","15891","92"
"1096","8377","121"
"1097","8377","160"
"1098","8376","92"
"1099","8376","185"
"1100","15894","92"
"1101","15900","99"
"1102","15902","68"
"1103","15902","89"
"1104","15902","185"
"1105","16398","109"
"1106","16398","118"
"1107","16398","185"
"1108","16399","138"
"1109","16399","319"
"1110","8340","92"
"1111","8345","92"
"1112","16400","379"
"1113","8353","92"
"1114","8354","92"
"1115","8358","92"
"1116","8359","92"
"1117","11547","92"
"1118","11549","92"
"1119","11550","92"
"1120","11557","92"
"1121","11562","92"
