"pls_id","chd_id","rcs_id"
"1126","1126","79"
"1128","1128","83"
"1129","1129","5"
"1132","1132","1"
"1134","1134","94"
"1135","1135","83"
"1136","1136","94"
"1139","1139","5"
"1142","1142","83"
"1144","1144","83"
"1145","1145","83"
"1146","1146","83"
"1147","1147","94"
"1151","1151","94"
"1153","1153","5"
"1154","1154","5"
"1155","1155","5"
"1156","1156","2"
"1158","1158","98"
"1159","1159","98"
"1160","1160","98"
"1161","1161","98"
"1164","1164","1"
"1165","1165","5"
"1167","1167","94"
"1168","1168","94"
"1169","1169","5"
"1171","1171","83"
"1172","1172","79"
"1181","1181","94"
"1182","1182","94"
"1183","1183","94"
"1186","1186","83"
"1187","1187","94"
"1188","1188","94"
"1189","1189","94"
"1190","1190","94"
"1197","1197","79"
"1200","1200","83"
"1204","1204","83"
"1210","1210","4"
"1212","1212","5"
"1215","1215","79"
"1216","1216","79"
"1220","1220","83"
"1222","1222","83"
"1223","1223","83"
"1226","1226","5"
"1227","1227","5"
"1228","1228","83"
"1230","1230","94"
"1231","1231","5"
"1233","1233","94"
"1236","1236","5"
"1237","1237","94"
"1239","1239","83"
"1240","1240","94"
"1241","1241","79"
"1242","1242","79"
"1243","1243","94"
"1244","1244","94"
"1245","1245","1"
"1246","1246","1"
"1249","1249","94"
"1250","1250","94"
"1256","1256","94"
"1257","1257","94"
"1259","1259","83"
"1262","1262","83"
"1263","1263","5"
"1264","1264","5"
"1266","1266","1"
"1267","1267","5"
"1268","1268","5"
"1269","1269","83"
"1270","1270","83"
"1271","1271","33"
"1273","1273","1"
"1274","1274","90"
"1275","1275","1"
"1276","1276","68"
"1277","1277","68"
"1284","1284","5"
"1285","1285","5"
"1287","1287","103"
"1288","1288","1"
"1289","1289","92"
"1294","1294","4"
"1296","1296","5"
"1297","1297","94"
"1299","1299","94"
"1300","1300","3"
"1305","1305","83"
"1306","1306","94"
"1307","1307","94"
"1308","1308","94"
"1311","1311","5"
"1313","1313","5"
"1316","1316","94"
"1317","1317","94"
"1318","1318","5"
"1320","1320","5"
"1321","1321","5"
"1322","1322","5"
"1332","1332","68"
"1333","1333","68"
"1334","1334","68"
"1335","1335","5"
"1336","1336","5"
"1340","1340","83"
"1341","1341","5"
"1342","1342","94"
"1344","1344","4"
